"","C3","C4","EMG","F3","F4","F7","F8","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
"C3",1,0.84037,0.50049,0.78871,0.7792,0.68666,0.78366,0.82163,0.82153,0.60799,0.72913,0.78949,0.81251,0.9172,0.86429,0.67742,0.80162,0.60329,0.60759,0.79751
"C4",0.84037,1,0.48303,0.82336,0.68423,0.71824,0.70488,0.73955,0.78863,0.60311,0.72537,0.73453,0.88095,0.7979,0.87347,0.60956,0.66966,0.65354,0.66001,0.72099
"EMG",0.50049,0.48303,1,0.55433,0.47107,0.69939,0.56238,0.52024,0.48215,0.26788,0.50649,0.57443,0.50716,0.53255,0.48759,0.43859,0.61428,0.69522,0.42967,0.60474
"F3",0.78871,0.82336,0.55433,1,0.73411,0.75879,0.78858,0.75552,0.86076,0.5943,0.69458,0.73731,0.7592,0.75365,0.78141,0.65768,0.70317,0.67242,0.59447,0.7205
"F4",0.7792,0.68423,0.47107,0.73411,1,0.62005,0.79733,0.77468,0.86686,0.46571,0.60984,0.6765,0.67486,0.71981,0.69511,0.68369,0.71909,0.58574,0.46292,0.67735
"F7",0.68666,0.71824,0.69939,0.75879,0.62005,1,0.77962,0.75178,0.65538,0.5304,0.61153,0.65595,0.71159,0.68947,0.66266,0.65589,0.74229,0.84111,0.59602,0.71104
"F8",0.78366,0.70488,0.56238,0.78858,0.79733,0.77962,1,0.85101,0.77971,0.53324,0.67019,0.71757,0.71694,0.76848,0.70708,0.7436,0.77519,0.68707,0.57223,0.74642
"FP2",0.82163,0.73955,0.52024,0.75552,0.77468,0.75178,0.85101,1,0.78131,0.62755,0.71213,0.74771,0.77331,0.82053,0.76586,0.7826,0.76168,0.62999,0.59606,0.77795
"FZ",0.82153,0.78863,0.48215,0.86076,0.86686,0.65538,0.77971,0.78131,1,0.52483,0.64344,0.71966,0.70725,0.73098,0.7819,0.67192,0.71814,0.6096,0.51069,0.6853
"LOG",0.60799,0.60311,0.26788,0.5943,0.46571,0.5304,0.53324,0.62755,0.52483,1,0.55604,0.58334,0.63067,0.64736,0.65056,0.66623,0.58257,0.44596,0.51782,0.63404
"O1",0.72913,0.72537,0.50649,0.69458,0.60984,0.61153,0.67019,0.71213,0.64344,0.55604,1,0.84247,0.86158,0.78915,0.81291,0.62868,0.6166,0.58012,0.67858,0.77148
"O2",0.78949,0.73453,0.57443,0.73731,0.6765,0.65595,0.71757,0.74771,0.71966,0.58334,0.84247,1,0.78418,0.87247,0.82033,0.68729,0.71795,0.62396,0.62833,0.88607
"P3",0.81251,0.88095,0.50716,0.7592,0.67486,0.71159,0.71694,0.77331,0.70725,0.63067,0.86158,0.78418,1,0.84314,0.88062,0.67195,0.69672,0.64755,0.73725,0.76604
"P4",0.9172,0.7979,0.53255,0.75365,0.71981,0.68947,0.76848,0.82053,0.73098,0.64736,0.78915,0.87247,0.84314,1,0.87304,0.70198,0.78976,0.6314,0.63777,0.86931
"PZ",0.86429,0.87347,0.48759,0.78141,0.69511,0.66266,0.70708,0.76586,0.7819,0.65056,0.81291,0.82033,0.88062,0.87304,1,0.66928,0.71512,0.60822,0.64709,0.77141
"ROG",0.67742,0.60956,0.43859,0.65768,0.68369,0.65589,0.7436,0.7826,0.67192,0.66623,0.62868,0.68729,0.67195,0.70198,0.66928,1,0.68921,0.56962,0.57246,0.70516
"T3",0.80162,0.66966,0.61428,0.70317,0.71909,0.74229,0.77519,0.76168,0.71814,0.58257,0.6166,0.71795,0.69672,0.78976,0.71512,0.68921,1,0.70684,0.5748,0.79395
"T4",0.60329,0.65354,0.69522,0.67242,0.58574,0.84111,0.68707,0.62999,0.6096,0.44596,0.58012,0.62396,0.64755,0.6314,0.60822,0.56962,0.70684,1,0.5624,0.64894
"T5",0.60759,0.66001,0.42967,0.59447,0.46292,0.59602,0.57223,0.59606,0.51069,0.51782,0.67858,0.62833,0.73725,0.63777,0.64709,0.57246,0.5748,0.5624,1,0.61386
"T6",0.79751,0.72099,0.60474,0.7205,0.67735,0.71104,0.74642,0.77795,0.6853,0.63404,0.77148,0.88607,0.76604,0.86931,0.77141,0.70516,0.79395,0.64894,0.61386,1
