"","C3","C4","CZ","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
"C3",1,-0.10813,-0.12026,0.17827,0.15835,0.11707,0.07527,0.02466,0.03429,0.16473,-0.08555,-0.23286,-0.22249,-0.1598,-0.19983,-0.21465,-0.02409,-0.1507,-0.14174,-0.17828,-0.19914
"C4",-0.10813,1,0.92075,-0.05591,-0.03684,0.01933,0.04391,0.07758,0.05698,-0.05885,0.15189,0.45203,0.44319,0.72971,0.42822,0.44714,0.18646,0.17567,0.83397,0.60549,0.42665
"CZ",-0.12026,0.92075,1,-0.06524,-0.03636,0.01425,0.03548,0.06958,0.05061,-0.05899,0.15763,0.45421,0.44748,0.76549,0.423,0.44389,0.18333,0.20218,0.74053,0.62262,0.43917
"F3",0.17827,-0.05591,-0.06524,1,0.85848,0.53227,0.50563,0.46764,0.46216,0.90985,-0.153,-0.06746,-0.09458,-0.05081,-0.0702,-0.04157,-0.06367,-0.01251,-0.09167,-0.06535,-0.08339
"F4",0.15835,-0.03684,-0.03636,0.85848,1,0.37868,0.58377,0.43725,0.52092,0.96622,-0.14158,-0.06145,-0.07995,-0.02985,-0.06132,-0.04276,-0.04033,-0.01043,-0.06021,-0.05808,-0.06528
"F7",0.11707,0.01933,0.01425,0.53227,0.37868,1,0.54897,0.76781,0.55337,0.40006,-0.06979,-0.00793,-0.02704,-0.01578,-0.00313,0.03041,-0.03691,0.03767,-0.00987,-0.01585,-0.0094
"F8",0.07527,0.04391,0.03548,0.50563,0.58377,0.54897,1,0.66719,0.85358,0.53626,-0.0675,0.00249,0.00208,0.03292,0.03069,0.05893,-0.05395,0.07222,0.03291,0.01979,0.0109
"FP1",0.02466,0.07758,0.06958,0.46764,0.43725,0.76781,0.66719,1,0.82257,0.44848,-0.01214,0.0767,0.05824,0.08654,0.08589,0.10268,0.01858,0.09474,0.05534,0.05758,0.08122
"FP2",0.03429,0.05698,0.05061,0.46216,0.52092,0.55337,0.85358,0.82257,1,0.50022,-0.03201,0.05788,0.05151,0.07077,0.07899,0.10632,-0.00123,0.11512,0.04786,0.04908,0.0677
"FZ",0.16473,-0.05885,-0.05899,0.90985,0.96622,0.40006,0.53626,0.44848,0.50022,1,-0.14921,-0.07562,-0.0894,-0.04436,-0.06609,-0.05023,-0.04895,-0.01577,-0.08839,-0.06976,-0.06984
"LOG",-0.08555,0.15189,0.15763,-0.153,-0.14158,-0.06979,-0.0675,-0.01214,-0.03201,-0.14921,1,0.41546,0.43434,0.15245,0.40057,0.38329,0.70922,0.05363,0.16337,0.15555,0.44056
"O1",-0.23286,0.45203,0.45421,-0.06746,-0.06145,-0.00793,0.00249,0.0767,0.05788,-0.07562,0.41546,1,0.88792,0.48411,0.76236,0.78755,0.45405,0.21542,0.48817,0.48847,0.72497
"O2",-0.22249,0.44319,0.44748,-0.09458,-0.07995,-0.02704,0.00208,0.05824,0.05151,-0.0894,0.43434,0.88792,1,0.47535,0.81106,0.78178,0.47602,0.20517,0.48417,0.483,0.84085
"P3",-0.1598,0.72971,0.76549,-0.05081,-0.02985,-0.01578,0.03292,0.08654,0.07077,-0.04436,0.15245,0.48411,0.47535,1,0.47136,0.48217,0.1867,0.22966,0.73825,0.87105,0.47139
"P4",-0.19983,0.42822,0.423,-0.0702,-0.06132,-0.00313,0.03069,0.08589,0.07899,-0.06609,0.40057,0.76236,0.81106,0.47136,1,0.92858,0.44142,0.1918,0.4593,0.47243,0.84054
"PZ",-0.21465,0.44714,0.44389,-0.04157,-0.04276,0.03041,0.05893,0.10268,0.10632,-0.05023,0.38329,0.78755,0.78178,0.48217,0.92858,1,0.4188,0.19805,0.47956,0.47324,0.76156
"ROG",-0.02409,0.18646,0.18333,-0.06367,-0.04033,-0.03691,-0.05395,0.01858,-0.00123,-0.04895,0.70922,0.45405,0.47602,0.1867,0.44142,0.4188,1,-0.00859,0.20482,0.20899,0.50764
"T3",-0.1507,0.17567,0.20218,-0.01251,-0.01043,0.03767,0.07222,0.09474,0.11512,-0.01577,0.05363,0.21542,0.20517,0.22966,0.1918,0.19805,-0.00859,1,0.17467,0.24574,0.2013
"T4",-0.14174,0.83397,0.74053,-0.09167,-0.06021,-0.00987,0.03291,0.05534,0.04786,-0.08839,0.16337,0.48817,0.48417,0.73825,0.4593,0.47956,0.20482,0.17467,1,0.6846,0.46195
"T5",-0.17828,0.60549,0.62262,-0.06535,-0.05808,-0.01585,0.01979,0.05758,0.04908,-0.06976,0.15555,0.48847,0.483,0.87105,0.47243,0.47324,0.20899,0.24574,0.6846,1,0.48485
"T6",-0.19914,0.42665,0.43917,-0.08339,-0.06528,-0.0094,0.0109,0.08122,0.0677,-0.06984,0.44056,0.72497,0.84085,0.47139,0.84054,0.76156,0.50764,0.2013,0.46195,0.48485,1
